name,price,#search,#brand,categories,#colour,#1,#1num,#2,#2num,potential_hashtag
Bershka oversized bomber puffer jacket in black,39.99,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
Bershka oversized bomber puffer jacket in black,39.99,coat,miss selfridge,coats,black,blackcoat,133000,missselfridgecoat,75,133075
Bershka oversized bomber puffer jacket in black,39.99,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
Bershka oversized bomber puffer jacket in black,39.99,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
Topshop denim balloon jacket in dirty dark wash,56.0,coat,ellesse,coats,dirty dark wash,dirty dark washcoat,0,ellessecoat,45,45
Topshop denim balloon jacket in dirty dark wash,56.0,coat,collusion,coats,dirty dark wash,dirty dark washcoat,0,collusioncoat,10,10
Topshop denim balloon jacket in dirty dark wash,56.0,coat,topshop,coats,dirty dark wash,dirty dark washcoat,0,topshopcoat,2600,2600
Topshop denim balloon jacket in dirty dark wash,56.0,coat,topshop,coats,dirty dark wash,dirty dark washcoat,0,topshopcoat,2600,2600
Barbour Annandale diamond quilt jacket with cord collar in navy,119.0,jacket,vero moda,jackets,blue,bluejacket,75000,veromodajacket,502,75502
Barbour Annandale diamond quilt jacket with cord collar in navy,119.0,jacket,asos design,jackets,blue,bluejacket,75000,asosdesignjacket,0,75000
Barbour Annandale diamond quilt jacket with cord collar in navy,119.0,jacket,barbour,jackets,blue,bluejacket,75000,barbourjacket,75000,150000
Forever New trench coat with tie belt in mink,69.0,coat,only,coats,grey,greycoat,36000,onlycoat,265,36265
Forever New trench coat with tie belt in mink,69.0,coat,asos design,coats,grey,greycoat,36000,asosdesigncoat,3,36003
Forever New trench coat with tie belt in mink,69.0,coat,asos design,coats,grey,greycoat,36000,asosdesigncoat,3,36003
Forever New trench coat with tie belt in mink,69.0,coat,forever new,coats,grey,greycoat,36000,forevernewcoat,154,36154
ASOS DESIGN longline plush faux fur coat in camel,41.5,coat,collusion,coats,brown,browncoat,36000,collusioncoat,10,36010
ASOS DESIGN longline plush faux fur coat in camel,41.5,coat,pimkie,coats,brown,browncoat,36000,pimkiecoat,104,36104
ASOS DESIGN longline plush faux fur coat in camel,41.5,coat,pullbear,coats,brown,browncoat,36000,pullbearcoat,4,36004
ASOS DESIGN longline plush faux fur coat in camel,41.5,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
ASOS DESIGN reversible bomber jacket in brown and cream,16.0,jacket,topshop,jackets,brown,brownjacket,25000,topshopjacket,2000,27000
ASOS DESIGN reversible bomber jacket in brown and cream,16.0,jacket,asos tall,jackets,brown,brownjacket,25000,asostalljacket,1,25001
ASOS DESIGN reversible bomber jacket in brown and cream,16.0,jacket,topshop,jackets,brown,brownjacket,25000,topshopjacket,2000,27000
ASOS DESIGN reversible bomber jacket in brown and cream,16.0,jacket,asos design,jackets,brown,brownjacket,25000,asosdesignjacket,0,25000
ASOS DESIGN borg denim jacket in washed blue,58.0,coat,columbia,coats,blue,bluecoat,59000,columbiacoat,998,59998
ASOS DESIGN borg denim jacket in washed blue,58.0,coat,bershka,coats,blue,bluecoat,59000,bershkacoat,2000,61000
ASOS DESIGN borg denim jacket in washed blue,58.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
ASOS DESIGN borg denim jacket in washed blue,58.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
Vero Moda hooded rain jacket in black,38.0,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
Vero Moda hooded rain jacket in black,38.0,coat,asos weekend collective,coats,black,blackcoat,133000,asosweekendcollectivecoat,0,133000
